,sg,bw,cleaned
SP2206,144.81115982342135,148.514938829032,147.30511506202572
HS2601,144.63882670206908,144.1157174682747,140.0000230110701
FF1107,104.99999887006565,105.0000624536958,129.99994322015138
HL1301,239.9996486741462,239.99999999990027,222.61098014872883
GC2408,124.25855051135886,124.70952139180645,112.50010484749419
LB0303,174.24196432059608,173.92244823021656,172.31496759138102
SE1208,155.85254389682723,155.52471691844943,150.00006488852628
LA1404,149.40244336008857,149.08696786513192,153.3752011285947
KA1406,190.30731749754491,190.00000742824508,130.00001770712186
WM0403,118.46328687999655,117.74463284406481,118.77673947226609
JP1906,209.24378898305693,208.90689500855032,209.13855530631423
SJ1006,146.19771711774214,141.8527103058067,140.00001285350717
ST0412,154.04858792382126,155.00000275642316,157.08628029097255
RJ1612,143.96056835882266,142.20513746827248,143.89318176533698
SL2009,144.9999990982383,144.89448519859036,144.9999984685016
AA0509,79.56747919778937,78.94090274314964,75.61490484458635
IV2507,119.0167587531733,118.65198798113819,99.38083751189045
PS2810,138.6609872975097,129.91491608770266,140.94480361375025
VK3004,119.83911262889782,129.38656817350002,113.55601224929785
SF2004,109.2400517034586,109.76339330537967,95.00001834005117
EF0410,199.99997884245118,199.9999969800547,223.65456030996825
FJ1809,118.23198317047778,119.29350319076676,58.07670687386036
AL1606,154.67389877170817,159.8704410160352,154.37365243301167
FY2803,110.44471520068285,137.43867831775802,126.56399155829892
BC0611,89.75464109025344,101.38746464942895,83.56672626201367
MJP1611,109.46297528164506,118.71775202289288,70.00000009339209
ZM311,97.75797224286245,94.86867792262137,79.10963233861567
BE1110,141.39279615803775,142.28896599585795,137.9559117626534
WB2110,59.99998063019732,59.99997430976685,59.999994755870006
HA2610,124.67250764087436,124.99996310935882,125.42248138138255
WV0510,104.86353545002116,103.46333929098559,100.90584327200253
KL1507,100.11219768559958,100.4978748792811,94.10242506073573
SC2404,126.10569265385736,127.06604666443462,125.93221276145057
HJ1011,109.99988649781183,110.40993606145753,112.76554158968897
KT1809,105.00000300378736,105.00003174903323,110.00003037107466
SJ0507,231.8196358311402,239.99902041625708,239.0020399944204
PE1605,179.9999931110502,142.25356791428737,144.9999938115235
